Gene	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
A1BG	0.0	0.0	0.01802810932534556	0.0	0.0	0.2043899243852025	0.0
A1CF	0.0	3.196937805421707e-09	3.406943288234788e-11	6.940794729109053e-10	1.4078960037179358e-10	0.0	1.5200532799401798e-09
A2M	97.02793406386981	330.6936183358339	554.5498120520871	263.45376913822247	199.1510462614156	227.3580748258052	179.88891597055976
A2ML1	0.3321001291259465	324.36273043836565	0.047379116800365606	0.10282029626010797	0.0	0.02556938138367695	0.0
A4GALT	45.455223029809844	49.79854913268448	4.452296174429884	4.753946131246662	6.5759950124758415	7.621781503226166	3.198833424057633
A4GNT	0.009763295696402968	0.32606982323943834	0.0376154596540328	0.1767526363028704	0.2438005150887397	0.11649920691257468	0.09172913614392796
AAAS	31.89807698617383	16.51715844078297	15.720826096907134	13.546051532322528	13.824446684370285	14.520852076323516	24.38991745815159
AACS	19.41496257688701	17.927252103134332	13.791142400113287	7.818847074357791	7.386835435976491	11.799622600498171	36.401548063191655
AADAC	6.364977364464649	2.9572282640386325	3.9713651275660258	5.842252615324143	0.6819085384780853	7.547008255280738	0.6485379209573053
AADACL2	0.1715267432998151	0.0	0.0	0.05211335933132788	0.0	0.2007264431959199	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADAT	1.1012261922209885	1.929524698208285	1.3564955786435149	0.8706676259100021	0.7848625507283866	3.9462926900009343	2.3678989381306965
AAED1	15.718688623909626	12.909735939019187	17.733356131544408	17.179850337264224	16.359383290438288	23.99077028259991	8.328003042303273
AAGAB	14.721261384131346	23.577284810182363	12.216587119786432	23.03331225934372	12.209311897131816	25.410568366801428	28.01829951801232
AAK1	9.675693926686476	11.784808501137702	6.5284796706490775	21.29365790267434	7.180085254969543	14.86230880460681	8.440500815295763
AAMDC	31.23534383692611	18.41173304289709	44.92587647113253	36.27051583620762	22.796519592910485	27.828495091731053	37.15144231071099
AAMP	168.1268183228527	61.8349379628399	89.78168715717472	61.41952814814068	56.21927286932336	64.01236932197395	69.35929777016915
AANAT	0.2378105344304977	1.4242237456131146	0.6217398031796609	2.088397026233332	0.3604273555042871	1.5818786667575773	0.20637111509115427
AAR2	39.023933042639406	20.304738210644288	20.130778210676333	24.586084733235808	21.828044162812503	26.8209250899997	28.829776570228358
AARD	26.69055552862393	0.25520382528684804	1.7783725348206627	0.503112554123938	0.26572541483677725	0.7699313338131388	0.8878837968340352
AARS	130.82734360310258	48.80199280275154	80.89516667271741	59.124234766478395	35.06724518424275	45.90716087810895	115.62430123199242
AARS2	5.640666573476612	7.470283381642883	14.042835849434526	8.913692821571901	2.7800117364095915	10.012407930588195	12.327118608756606
AASDH	4.7185515895108425	4.090401268632493	3.2236171468831163	3.1572099348453	2.807332507394672	7.229749385568714	4.289783596443721
AASDHPPT	26.49577733050044	12.952472844087696	7.599069739105133	8.74109554239884	8.012231479381134	19.103778069973306	12.586875078779972
AASS	1.274478868435701	20.321615666374733	7.570249660484262	12.33083846609834	2.6615544574470125	5.17151520286012	9.419809168961683
AATF	45.42843827646335	46.44663399516203	38.46206951793117	72.57580356304003	46.56321258552365	64.64806820285682	62.41823766786069
AATK	23.609098407802442	0.8613124791798247	9.020261778261457	1.853065694793917	1.8398160735345432	1.6245396312907447	2.9233403562453217
ABAT	4.363947205541591	8.730301176147114	18.557591548458774	7.161848649332316	7.548345879902116	10.928907651975734	8.266660552843911
ABC7-42404400C24.1	2.3655360980961264	3.1850428726429527	0.7241634853457652	2.4906057850519723	0.3619710056194285	1.4484465925790442	1.0829414645889015
ABCA1	13.779102733181048	63.627973610720424	34.860446663397056	21.0497317676638	16.490152745783707	52.112545906828394	33.94607447233468
ABCA10	0.0	0.20119803653319973	0.0	0.0	0.0	0.0	0.0
ABCA12	6.7144616128393855	5.6466696334046285	0.7301959198126855	0.2987730024986145	0.41380672489430825	2.3816513064083296	4.541431452335279
ABCA13	0.20232260699747576	4.872231382720006	0.29085933112585505	1.674229670091603	0.12234819376179808	14.338999030333085	0.07810488228949022
ABCA2	1.8437484146010328	0.0	3.2123010324663257	1.1270472105704523e-10	0.0	0.016846515723449244	1.321477289103812
ABCA3	39.81643821180664	52.84616819299212	116.5746167990422	49.51966999659173	59.23404142212291	31.00732169218081	144.8180932828527
ABCA4	0.672228861516692	1.0535455961715945	0.3990598706224824	0.3343989641636077	0.06538867291039413	4.7179918506685885	0.1075634801305292
ABCA5	0.6667719907322017	2.5577761739000766	0.31770612360681993	1.396848712956869	0.021673011495689728	4.220333049787213	0.7492543069434972
ABCA6	0.7301730645306567	14.201443890232575	4.934231213760542	0.5103369974054013	0.5768605154552539	2.4399779366061343	0.4764122672213006
ABCA7	0.4630681091907452	0.1938234196618131	0.0143811745270141	3.864676465439715	1.3085109141755995	2.6707395637936022	0.11385649914338225
ABCA8	2.9691033338465127	0.8987202060134016	5.823602846671923	0.12952990051407726	0.1826429578581454	1.4499028156671163	0.3341650879488777
ABCA9	0.39543077464937376	6.976084021377252	0.7991695239087329	0.9039769975122236	0.16271070662205486	2.2098010521474682	0.11983278807376395
ABCB1	1.1697278137499652	5.63416589806376	5.504795723218062	9.087512205681657	0.15013677889265395	5.739207144516572	3.246102621190992
ABCB10	15.90732635680414	14.807337307412373	16.019055953811247	13.875398795506037	8.258687442913299	17.612936658222694	9.148396059841737
ABCB11	0.03968259147600007	0.2256812126571951	0.4313368716836079	0.017455404948726366	0.0	0.1696352254921576	0.02682544488430937
