	NSCLC_Lambrechts_10xv2_Sample_4b	NSCLC_Lambrechts_10xv2_Sample_3a	NSCLC_Lambrechts_10xv2_Sample_4c	NSCLC_Lambrechts_10xv2_Sample_3c	NSCLC_Lambrechts_10xv2_Sample_4d	NSCLC_Lambrechts_10xv2_Sample_3b	NSCLC_Lambrechts_Sample_1b	NSCLC_Lambrechts_Sample_1c	NSCLC_Lambrechts_Sample_1d	NSCLC_Lambrechts_Sample_2a	NSCLC_Lambrechts_Sample_2b	NSCLC_Lambrechts_Sample_2c
B_cells	11.489642215899014	8.622261873851153	13.45696582030994	3.7342829510657456	11.8652276412384	10.559287435249756	21.855024491675767	27.415503069443865	17.225375616656198	16.053072019026178	16.175866251282542	12.839364266505456
B_cells_std	2.503935436276392	1.8562562354890009	2.79221233559179	1.0316624014517428	2.739449766123677	2.8713656876979288	2.1506524433184486	2.089767917117053	3.19370750375687	3.05154632269382	2.009796193630755	2.4877952365298692
CD4_T_cells	2.65885575166212	3.2477709265407286	2.4138374980243977	1.7944048221600055	2.6445922835807845	3.6738028182855786	3.9610990670905135	12.154524503751276	12.035709829350589	5.122484917724513	2.628600210884556	5.411986268487822
CD4_T_cells_std	1.1894424026261212	0.3900062947971938	0.7880956425171117	0.2269093857362273	0.7616917423410785	0.6260209883437939	0.5851936167940519	1.283523730802706	2.09522433113218	0.5838539851400507	0.16945998184877345	0.4896535276808777
CD8_T_cells	29.34353796200461	7.5589773063471295	17.37115012070479	3.7224053830045527	18.874125256124554	9.214157896732646	9.983245964923778	10.08651030643865	20.47997131241597	6.703078075161298	3.621544786769416	6.2364298387909605
CD8_T_cells_PD1_high	27.173932065371844	5.371898948161401	15.460485000283608	2.6738730713147008	16.81243247893491	7.531307843939258	5.95283778763623	5.826373470856137	14.284100745595026	4.1692541061251145	2.1960456878531813	4.060832406952336
CD8_T_cells_PD1_high_std	2.64300692495656	1.0300921291691354	1.2996486776980627	0.4928494433781453	1.8820750473415515	0.9541046987511268	0.9468080474157474	0.9983182830567576	3.3851096651787107	0.926935180467869	0.2543054172134502	0.5981161430145752
CD8_T_cells_PD1_low	2.1696058966327727	2.187078358185729	1.9106651204211809	1.0485323116898513	2.061692777189644	1.6828500527933865	4.0304081772875495	4.260136835582512	6.195870566820946	2.533823969036185	1.425499098916235	2.1755974318386224
CD8_T_cells_PD1_low_std	1.4276650949189267	0.9221725856714892	0.7390997568995217	0.3782632754220308	0.8838483326274649	0.854996754958145	0.8860433075902874	1.4655645307806446	3.3990092409770174	0.9973299267343222	0.3352888431953466	0.5802435949769307
CD8_T_cells_std	2.8591557395482483	0.7116434381478774	1.4205762477116117	0.377148547637015	2.049449049414212	0.9035264142266984	1.004780412298173	0.9842901006887332	1.410328340941046	0.5959397788211971	0.2937419873942856	0.3617055777901069
Endothelium	0.7183652608902943	6.3915627125629735	0.3660712660724184	0.14790265238806755	1.085721886010615	6.041782299011147	0.026547074057965855	1.306784297734295	0.2345941947759473	0.11287282650038122	0.5414620377824628	3.1089453280091535
Endothelium_std	0.032826816637740286	0.4843762296986495	0.0307935460049266	0.03401332020196045	0.07863909186221335	0.4790175454398904	0.03621792425612546	0.17197000024505424	0.03943887146910118	0.020238852349724758	0.06505868016239014	0.2145865265294737
Fibroblasts	0.9332037568192424	4.708347263276124	0.6777130990908722	1.404591491739958	0.5226958392170441	7.467926979811448	1.2943903560413297	0.8115489776951361	1.8474177607790216	0.14783105961555382	1.847002684202626	2.259473033379964
Fibroblasts_std	0.07673765071475297	0.6914183770357107	0.05697090209262619	0.1086203091393642	0.06271174707776839	0.97325937430876	0.0702779292077018	0.08462970225756497	0.2336582520432129	0.041487008054497086	0.16856642528962712	0.2700716717175828
Immune_general	47.04943588253216	41.02208998801924	42.11671897551045	25.74771407456139	40.376842457488024	38.147639832314866	41.860445623546994	51.20113110623601	52.242734308537976	35.15597997991201	29.84849308025657	33.12384568535812
Immune_general_std	2.358932148577884	1.170365876378508	2.00998310021984	0.8605015269648514	1.687327056266111	1.4846079326063333	3.713546588907216	3.2508855086743345	2.095990558324751	1.4528571299792374	2.2570827653261216	1.3259411232654923
Lymphocytes	40.327114983446066	20.665961108243167	34.588218914401935	11.577307107833171	35.26884334786369	24.39924773478393	35.478266562237245	44.7571937112304	48.76068728485126	27.7302334057695	20.771305812739037	24.257658200025443
Lymphocytes_std	1.9868752211908929	1.0778773956341177	1.5579950878725315	0.6379874891762012	2.009058882475028	1.1687453078804972	3.75118404660614	1.7648912409328623	1.9204207180223507	1.0742036030844242	1.6263067495997832	1.0563331285271471
Macrophages	6.59616753270346	18.812182351001283	7.360106206963271	14.587393332221714	3.976664496334679	12.504948850762286	5.421350920949621	4.8963809994319725	2.2878198435801846	5.923646453487688	9.254723569982957	9.370921940470971
Macrophages_M1	2.0805040379225184	5.563030304740328	2.778411853758725	2.220176606540334	1.1331319195126497	2.894584100128834	1.6351860056413197	0.9623042130846958	0.5668684924244665	1.0829923570191131	1.8823746182942729	3.3525647745782643
Macrophages_M1_std	0.4897692971398829	1.985486455165346	1.110649492545811	0.8702631236703259	0.3482640262252568	1.1003919780897695	0.3077450852339177	0.18549066661261426	0.3170151990216953	0.3965615432676601	0.6668030470561273	0.767883874486593
Macrophages_M2	4.515663494780941	13.249152046260953	4.581694353204546	12.36721672568138	2.8435325768220285	9.610364750633453	3.7861649153082997	3.9340767863472776	1.7209513511557188	4.840654096468574	7.372348951688683	6.018357165892705
