	cy53	cy58	cy59	cy60	cy65	cy67	cy71	cy72	cy74	cy75	cy78	cy79	cy80	cy81	cy82	cy84	cy88	cy89	cy94
B_cells	0.13539692110884707	0.6369667757470623	0.030818954700457625	43.736612236040315	6.616199867820589	16.94356590287265	0.08059171514604592	16.221032804503718	5.006089608869366	0.2956304151200348	0.7327996366534353	8.325986975048608	12.894019449836485	1.3607134796123928	0.7902551913589126	19.90760712168137	5.3705685899293405	20.892547891684945	24.14060289203937
B_cells_std	0.06936895923066401	0.21638964229912214	0.0075559007480125	2.731778363695747	0.6792606818116781	1.6631405082772606	0.06206597889505321	1.9901113167032896	0.6820462390029245	0.0945128932841348	0.07483508636418114	0.8466804222441723	1.2490666846377425	0.2990770924777294	0.22976506972603666	1.5311333658240716	0.7103821614166971	2.4123014592641105	2.341097379801306
CD4_T_cells	25.29466657049483	14.542732075153424	0.02685948730829112	21.877750226281737	25.152178402608165	24.31846376808616	1.2648073991992037	47.77549764378178	5.909732567916657	1.5789086656975944	0.0998565867529341	6.5925663387657885	26.137636127378073	7.050016508528725	18.70747089089118	17.191307479795643	13.317574549763696	13.337645704901993	37.043087583123075
CD4_T_cells_std	3.8126868911904936	3.1747554059247416	0.012819512062887088	1.8876261688512397	2.254012650261304	3.4322260418275965	0.5953553853168995	2.216488490453812	2.3566250307356973	1.2344018581233012	0.020243012374195304	1.6092638475500232	3.1114466368634157	1.5524175934996791	2.0203586498607127	1.9145778113083536	2.2943456650094527	2.1591943796627637	2.084610869856577
CD8_T_cells	20.860108225705517	58.12846129739294	0.03410354053962338	17.714027475699886	44.0647994691871	25.988718971968108	18.23852072006504	10.972995414625268	64.70273872777702	72.56472196040562	0.1035185409387011	26.42562775000743	20.746419257477964	11.82709317688542	10.81549937192717	25.93395450248647	17.27210749955367	31.373283849344414	8.711983045622901
CD8_T_cells_PD1_high	12.461328173683262	43.98909330922883	0.01980194479044897	14.305386829796793	31.7083970049314	19.764490937954708	14.574343131056445	7.539979947462889	53.15393823037926	70.5026635355012	0.059544730506573426	24.178023233390327	16.283300929604767	5.181403796718368	8.98451580216859	21.869516400886372	12.660726249353747	26.91325971467431	3.857742210169168
CD8_T_cells_PD1_high_std	5.601540425374575	11.604201586963079	0.0073545262263645566	3.7114260872459433	8.543933275427102	6.402824728538759	2.536284097460561	2.1158645797154483	11.039849792432909	4.378287715927373	0.016631978942088673	2.63437325899548	3.5372278812537856	2.56814614305289	1.5735945340160706	4.3171817367505705	3.4911581952119226	3.3995907406693053	2.0277228902516384
CD8_T_cells_PD1_low	8.398780052022246	14.139367988164125	0.014301595749174415	3.408640645903095	12.356402464255693	6.224228034013394	3.6641775890085855	3.4330154671623814	11.548800497397751	2.0620584249043907	0.04397381043212766	2.2476045166171037	4.4631183278732065	6.645689380167054	1.8309835697585801	4.0644381016000874	4.611381250199923	4.460024134670109	4.854240835453735
CD8_T_cells_PD1_low_std	5.507320458497512	13.426579104420874	0.003027721961796635	3.559484789087125	10.183836354839913	6.678194805484463	2.6935632102128824	2.559819370538696	12.185945879940492	2.850224917445366	0.00615614276425519	2.8682887340861063	3.4716446619012307	2.0218294773537124	1.1452010131482286	2.82404301643331	4.340492856744886	3.691206163291517	1.8968622007832197
CD8_T_cells_std	3.1682411680896028	4.662227220607568	0.009012236698023745	2.050072194240834	2.7398336475156087	2.0035434545945883	1.3654937338918194	0.8645832137614696	4.3282094228074595	4.641631693778704	0.015371217296925959	2.277301111420667	1.7774545867625495	1.4212919400926696	1.6763661016122118	3.2443275172632187	1.8569715013754715	2.8173627517475195	0.8893113246003427
