	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
B_cells	23.77553541071596	31.48064012524688	2.090738699911629	10.820224136067417	0.1488818843536899	15.018424127045849	13.820657377161288
B_cells_std	2.587579088523813	2.7539888627782183	0.4896492833669805	1.2881950920411152	0.05227177942659077	1.5011587175084828	1.4348674814174451
CD4_T_cells	19.310191743251213	12.028817890443538	21.82445060958553	34.015729711066214	2.321296498692281	45.91644462843252	26.171413189475466
CD4_T_cells_std	1.1705378110452729	1.0132988959800304	1.3851151532496175	1.849990080291972	0.4829775393305995	2.5063498959759056	1.6558039564436122
CD8_T_cells	8.208580557689963	2.607783959459848	19.28914432307982	30.99514507784369	1.3392184505270897	13.00144795396989	15.191640917250233
CD8_T_cells_PD1_high	5.096477229500263	1.9576226321001717	12.943949747720367	27.916963906753388	0.7586185181602245	10.762342755470202	11.072157941447857
CD8_T_cells_PD1_high_std	0.7113979212247304	0.2886961311219933	1.6976057169800476	2.91256412098211	0.2444287128476921	1.0931740685647309	1.1790397842756049
CD8_T_cells_PD1_low	3.112103328189701	0.6501613273596758	6.345194575359452	3.0781811710903115	0.5805999323668649	2.2391051984996877	4.119482975802374
CD8_T_cells_PD1_low_std	0.588793389843768	0.1351677208435099	0.9447620071101388	1.1406568623918398	0.1124278118720694	0.7022758696451575	0.6289557132166371
CD8_T_cells_std	0.8697472720392572	0.299419285410008	1.403604536334262	2.1128121666273514	0.3157762714364462	0.9065805495696444	1.292025378779416
Endothelium	0.5115049429559184	1.3004141027149063	3.4676615818621785	0.19476813787686173	0.12641856338758042	0.3963774689276127	0.26552019428462864
Endothelium_std	0.026202736348360317	0.10156540685851732	0.261297163842264	0.03162901028557527	0.021474990567638918	0.0255877356395606	0.02688891365368004
Fibroblasts	0.19592355685500484	2.14223612514806	0.7822532759275016	0.14762710977283616	0.03465836610008362	0.3272767773359981	0.26298781102895497
Fibroblasts_std	0.050981981479405004	0.1455497997968259	0.08966845799646897	0.01450301634406042	0.01663935368631875	0.019071178837956764	0.018728974298284524
Lymphocytes	52.86598760385529	47.29605171346717	44.57212024145507	77.05914913615895	3.902018683851602	75.41002521613042	57.03791087968237
Lymphocytes_std	2.491799080267168	2.363057428650636	1.5022929635919815	1.7110403782256491	0.7031959263090249	0.962170697843188	2.7820961203134815
Macrophages	12.585723583888136	24.21144902042829	22.16016289313532	13.747170564207575	72.86979264145515	11.925673981466494	18.925423058100787
Macrophages_M1	9.60436876420856	19.85557870038053	9.726267667273797	9.40755486334063	46.67435735749012	8.962498764445769	13.164818411571884
Macrophages_M1_std	2.6815272002489032	3.2522919292255663	4.494034115824324	2.5864356218402813	12.640445862429493	1.7503009977350652	3.674603219326952
Macrophages_M2	2.9813548196795803	4.355870320047758	12.433895225861518	4.339615700866947	26.19543528396505	2.963175217020724	5.760604646528907
Macrophages_M2_std	1.134854834040541	1.833880373599993	3.0196793368920867	1.4274218557701268	9.312556390153713	0.7688225439224342	1.963417934301532
Macrophages_std	1.7863103811919092	1.6589192061493123	2.0215291939513005	1.350890521033575	3.826933989500712	1.150387616817685	1.7960469891050783
Monocytes	0.4278309473111345	0.9035899082680257	1.0149674408296552	1.2727905664906336	0.2649550950680973	0.5733737162365589	1.956801508897111
Monocytes_std	0.14493763033678822	0.4446324095996986	0.3122699783822298	0.3845651293073576	0.4134854852434248	0.21002851472962167	0.31044439383025063
NK_cells	1.571679892198132	1.178809738316906	1.3677866088780946	1.2280502111816296	0.09262185027854143	1.4737085066821618	1.8541993957953824
NK_cells_std	0.3693289657125662	0.21148159774672906	0.27397830162126113	0.2674131837042401	0.09410489550095948	0.2398345828046949	0.4593090007807952
Neutrophils	0.3784492727851673	9.777566981371317	3.0347391497111182	4.034517286968196	2.1161053840783053	2.826477705577208	11.778412258694766
Neutrophils_std	0.1233942380466838	1.8363990255915323	0.5375988804107379	0.8943968737471031	0.3674954420468639	0.534181308817689	1.7199239210829045
Non_plasma_B_cells	2.4125230024717568	31.45121864858313	0.3260369672169756	6.1983632522076215	0.045937203907478574	11.817898656189818	0.1478875086431169
Non_plasma_B_cells_std	2.076612252929886	2.7718276049099098	0.2811429385048725	1.600943214267727	0.048700043577715006	1.8889896537898436	0.07954835159238527
Other_std	1.9462479868843223	1.3699920524432296	1.3739343604024121	0.39525607581459854	3.155788558227602	0.4694923069126738	0.8275400210730739
Plasma_B_cells	21.363012408244213	0.029421476663745907	1.7647017326946532	4.621860883859795	0.10294468044621133	3.2005254708560287	13.672769868518172
Plasma_B_cells_std	1.7662415205140607	0.05847458786858655	0.28903572364200825	1.064049853083891	0.029956652488780367	0.8806573735907992	1.4424149633099843
T_cells	27.51877230094119	14.636601849903386	41.11359493266535	65.01087478890992	3.6605149492193703	58.91789258240241	41.363054106725706
T_cells_std	1.233910587335261	1.09095975804362	1.3845405285247332	1.5421624689249218	0.6409413717863779	2.059238264977405	2.130019601178639
T_helpers	7.4934735729661375	5.8272433702169915	10.36646127558409	21.117573057303147	1.6161927498046464	26.70640930285143	6.753812383022512
T_helpers_std	1.2768585284051568	0.7550495300468127	1.1247373993477123	2.1698446803602875	0.3110709428789081	3.003396373956757	1.7339362546156687
Tregs	11.816718170285082	6.201574520226545	11.457989334001436	12.898156653763056	0.7051037488876348	19.210035325581078	19.41760080645296
Tregs_std	1.2519864357929744	0.9585391869894148	1.642211755256215	2.4840004553833053	0.2411054355896965	2.124709915204558	2.026156087884106
