	W070517001156	W070517001157	W070517001159	W070517001160	W070517001161	W070517001162	W070517102034	W070517102035	W070517102036	W070517102037	W070517102038	W070517102051
B_cells	1.3354100847536037	4.761104245803502	4.392045266346656	2.6712755159083845	4.024152095636362	5.3844110385500334	7.122865175377152	3.364536998180528	5.8993927982609025	13.795092155255597	10.042886016296423	2.8788951152523334
B_cells_std	0.18490141580048491	0.770600994451439	0.6437510261722981	0.4765135422150255	0.7912072101824487	0.8963983872631465	1.00632569144185	0.5498683248694253	0.7680884331507483	1.3170258853097745	1.1946567598872146	0.5490150681237531
CD4_T_cells	8.413027214445687	22.692578308941155	6.3225639581744515	25.043731473523177	12.624559972550001	29.734341143117884	31.030309805943734	14.60001742137194	18.88454105261704	33.39764341145624	27.68015445953636	13.692542665355182
CD4_T_cells_std	0.9012409910498692	1.8358573903042943	0.720863677513432	2.3630301554498434	2.1310757613689386	1.7081534071370377	1.581932874463878	0.8052508267129027	1.771574718887342	1.6839205947784197	1.4129162653464338	1.290028296548431
CD8_T_cells	0.4676909959190543	1.5955633570502965	0.3122740551444572	1.3613498214994912	12.478800622924814	2.756331054536586	3.288596830892065	1.6247100295704122	5.357598992173737	6.93985557701231	2.503745295752409	1.170659049704854
CD8_T_cells_PD1_high	0.190956391803285	0.5378087433206411	0.10757462461291643	0.5554724172594048	2.127008107189529	0.8715714583833635	1.1213267783303884	0.7467462521253669	1.4493872026080103	1.5600672977294756	1.245632541512542	0.502513344026719
CD8_T_cells_PD1_high_std	0.09240717226491448	0.19308225657140207	0.06573572449556407	0.1803523060148167	1.9670598887039608	0.40899910492528657	0.6891430609363812	0.3197724862560345	0.6498260663020374	0.9637287848128868	0.5260720967748326	0.26536895327379817
CD8_T_cells_PD1_low	0.2767346041157693	1.0577546137296554	0.20469943053154085	0.8058774042400866	10.351792515735287	1.8847595961532224	2.1672700525616766	0.8779637774450452	3.9082117895657253	5.379788279282834	1.258112754239867	0.6681457056781349
CD8_T_cells_PD1_low_std	0.09881022856204796	0.2840813923618328	0.05591788326982413	0.23733428122793365	1.8439741705903012	0.4660309340051824	0.5832901433280343	0.3671378180296475	0.8403288471734598	1.3853341661296945	0.4997914166809215	0.2169617890211732
CD8_T_cells_std	0.07169604000755167	0.2468791473360719	0.0928846949337887	0.16421344425821766	1.2036456614303406	0.2326128157890452	0.3046338355984312	0.26506338917288097	0.5885186140167846	1.1134066755825656	0.30174656190380683	0.20404726213732893
Endothelium	0.005018988474702457	0.004811425490526647	0.005551252068262434	0.013352332771092159	0.01595664040769045	0.012842017557625979	0.01060369883029395	0.004356018122251076	0.008609159887580755	0.011939201556127751	0.011610869287930668	0.007357606298690963
Endothelium_std	0.0009645588963553748	0.0010185637889211178	0.0006859860239194369	0.00315881718544621	0.003598228474332204	0.003300134650834719	0.0020258933250632298	0.0007342922610754423	0.001796984274303864	0.0030893909886288828	0.0035411578895381767	0.0015551542852491106
Fibroblasts	0.001713303893878013	0.003769521208775313	0.002039347132054508	0.003829584471150835	0.0036045217851896397	0.0023695720832948666	0.0028467857928619767	0.0017708088070795688	0.004524534830480069	0.0033178032149215517	0.004522577227081093	0.0028969793911026746
Fibroblasts_std	0.0006186558464474719	0.0008408503447535008	0.0006146837400386432	0.0007175815037361716	0.0009628254411138932	0.0007731291317692892	0.0017907702956320613	0.0005659380232737808	0.0012579594692879552	0.0009564607913879172	0.0008908396484236918	0.0011539331098028404
Lymphocytes	11.571310061036826	30.79027300408511	15.154042772282176	30.160476706150867	33.333282223130595	44.74861305603185	45.12619049630908	20.30619099764971	32.219849359657886	60.7303941162215	43.03739451162408	22.298127345874033
Lymphocytes_std	1.1747289208852685	2.349499558008716	1.6999088374895468	2.9152939643490328	2.161490926654853	2.3368675035372184	1.9015994166069028	1.44070007376095	2.3628505352078863	1.4499032217468533	2.6072524882767967	2.168116006362991
Macrophages	0.027366421776726997	0.011943853902091241	0.02395143130187617	0.03444231504907458	0.11966002315493535	0.024178971083868545	0.03590607103479627	0.030459185102703863	0.048956562205204016	0.05696584392652556	0.06444690095631697	0.032899530260884165
Macrophages_M1	0.010055197464668991	0.0057555205227707825	0.005626293741098923	0.022709458036238386	0.03723634074412877	0.016021934979046068	0.023029821687294443	0.02513012185915071	0.026980947715266743	0.023352163287487484	0.042188089307575186	0.016104902290237817
Macrophages_M1_std	0.018329941060404437	0.00954345518246026	0.01676731766130677	0.030706938419153586	0.04429716837125708	0.0274394366901295	0.029261032567247613	0.0345343888899366	0.040454093598639995	0.03327463769333982	0.04118458585238425	0.03367275451862672
Macrophages_M2	0.017311224312058008	0.0061883333793204594	0.01832513756077725	0.011732857012836205	0.08242368241080661	0.008157036104822475	0.012876249347501824	0.00532906324355316	0.021975614489937248	0.033613680639038065	0.022258811648741786	0.016794627970646334
Macrophages_M2_std	0.01796352997592589	0.010752003769420551	0.02247984173309338	0.01821129521832463	0.035443888509325665	0.010391071681738313	0.01739049376595091	0.008109682009748322	0.01467968880868816	0.0198487957222682	0.018269793481388682	0.02091023444365117
Macrophages_std	0.021551795688313016	0.015222652551993213	0.027276657474770902	0.02942569709837132	0.04214609024319007	0.02537260733151584	0.029883769817352787	0.032856470236883116	0.03764475869543675	0.03525518929111678	0.03135607563651382	0.031539670033377036
Monocytes	5.107839870003749	5.006087512128309	3.768536638046311	5.271630088837095	12.209004358299813	4.259196372149134	2.893071308303255	2.6124794675772454	4.483139223247957	5.765293446335934	5.307717960961808	5.609955417786597
