	SRR6337113	SRR6337114	SRR6337115	SRR6337116	SRR6337117	SRR6337118	SRR6337119	SRR6337120	SRR6337121
B_cells	7.228125897564285	3.210642051562674	8.706884467404096	9.885383187488763	6.6204055342110335	3.2348437680137816	3.78964196390326	8.817891177494413	4.759458342056576
B_cells_std	0.7939225309848401	0.4737158187052772	0.6009515839849467	0.8053783605293371	1.386228930618269	0.2408922753460591	0.32920568590173016	1.098971941009111	0.6789863019969751
CD4_T_cells	41.463097388503925	43.717226353718544	28.47689267985051	16.169424073468054	21.2759771743871	9.943886765576169	20.165412739739338	30.707333114584326	20.293794199264898
CD4_T_cells_std	1.4837398896022909	2.365451131695862	1.83501897644364	2.8167162588925834	2.404411134701012	2.6911577343809103	2.3520244840357307	3.3430114793759995	3.0735289834931763
CD8_T_cells	22.631228502585827	25.330239765638233	36.09759682529917	37.207159080029655	30.41257163307746	49.43573645571056	31.50732460605023	22.58935983079392	41.63843064394092
CD8_T_cells_PD1_high	0.4004885596079319	0.4717461120421072	0.5044151877616218	0.4567087526985867	0.5297692501302772	0.455674220292411	0.5703191089031564	0.5390536729204976	0.44256934252796776
CD8_T_cells_PD1_high_std	0.1777429046172213	0.2875993513102138	0.2876596726226393	0.21940480985490876	0.2508896680294124	0.2650498967103401	0.2432565996151005	0.2700634202037493	0.21468719977830847
CD8_T_cells_PD1_low	22.23073994297791	24.85849365359612	35.59318163753755	36.75045032733106	29.88280238294718	48.980062235418146	30.93700549714708	22.050306157873425	41.195861301412954
CD8_T_cells_PD1_low_std	2.244632538645724	2.4011804255556672	2.6656121496614285	3.9100346324079616	2.3638445842976243	3.7827035936108384	2.017755433799377	2.8011098093063653	3.244686360277558
CD8_T_cells_std	2.282883942332176	2.4098590784760985	2.710322923707692	3.9750642147782806	2.3802567595972444	3.8386061446945257	2.133108490734557	2.80085475278458	3.2797797340151686
Endothelium	0.0029008185144005503	0.0051566328778898315	0.005080833779328663	0.0011356909279218658	0.005412077734875113	0.00043112681297378567	0.007542822396692323	0.00668574155837056	0.0007226160403665094
Endothelium_std	0.0005270481784431202	0.0007047672520053988	0.0007063723597794255	0.00043380231430999915	0.0007266453813580366	0.0004074652696032636	0.001100175169070979	0.0010395033007727	0.0005830467599600387
Fibroblasts	0.0036388726632147297	0.004391339556082285	0.002428735585189673	0.0029149250060042896	0.0035222852118177994	0.003518117466728141	0.002347125343100664	0.004022144851004119	0.0029670060677415852
Fibroblasts_std	0.0017797641379264683	0.0018445582905860887	0.0013323657481936495	0.0011274607515545767	0.0013973999569479078	0.0011451653965968741	0.0009872985150826312	0.0017414569438208886	0.0013585553759840607
Lymphocytes	74.68536479958422	75.83608307417637	79.71166499055342	68.10910914081178	65.49387410976595	74.50255605314291	66.83700733804599	65.03921061943313	76.04638453132306
Lymphocytes_std	1.9305833158642665	2.4584130472869763	1.6892923357620742	2.6515143631079265	2.5367440893781312	2.1224315761621355	2.235498709332908	2.272209194750756	2.293259338642005
Macrophages	0.02599363063919774	0.001212368517426168	0.012632794943968302	0.003136622132752409	0.020055704416729825	6.427015755945655e-05	0.007873309612067	0.0	0.004945290323361181
Macrophages_M1	0.0016742382276322596	0.0	0.007313297953865316	3.0528455193958254e-05	0.00654624101915881	0.0	0.005773758286623758	0.0	0.0
Macrophages_M1_std	0.005294406145041396	0.0	0.008835659246333961	9.653945185930551e-05	0.014058462545235234	0.0	0.01371220623410297	0.0	0.0
Macrophages_M2	0.024319392411565475	0.001212368517426168	0.005319496990102989	0.00310609367755845	0.013509463397571014	6.427015755945655e-05	0.0020995513254432408	0.0	0.00494529032336118
Macrophages_M2_std	0.011077353249681992	0.00245914382829929	0.006483107378338357	0.003997817466008457	0.013396954790868705	0.00020324008346577142	0.00568491428692277	0.0	0.011089933149020228
Macrophages_std	0.01172202165587383	0.00245914382829929	0.0072449971541445795	0.004055654829417897	0.017085283516307215	0.00020324008346577142	0.013906991107739387	0.0	0.01108993314902023
Monocytes	24.16138475491886	20.821781749183813	18.941308227132946	29.481252127927934	32.333988908619816	24.44588496689001	32.02405765321302	34.78865053256361	23.909639456484662
Monocytes_std	1.3346182621278238	2.1746051200132137	1.532391333515575	1.9114446120506183	1.8836616057350604	1.5928473266371868	1.5969634989693535	2.3188450982062947	2.0499765550737257
NK_cells	3.362913010930186	3.577974903256905	6.430291017999648	4.847142799825293	7.1849197680903565	11.88808906384239	11.374628028353165	2.9246264965604887	9.354701346060676
NK_cells_std	0.7793391333871157	0.7793363568589728	0.9451675585108156	1.4516461801565537	1.1430295565454955	1.541412861199598	1.6298014833486754	0.3751166270103693	1.2581261590279025
Neutrophils	1.1207171236800986	3.3313748356884303	1.326884418005132	2.4024514931936025	2.1431469142508157	1.0475454655298184	1.1211717513891124	0.1614309615938763	0.0353410997607952
Neutrophils_std	0.5031996323870614	0.6760916439316185	0.3270264978307885	0.5827823455484252	0.7568117005161051	0.2940203084580935	0.4478523919599156	0.10726517947357543	0.04751295142910193
Non_plasma_B_cells	6.898270881451997	3.0665095033304275	8.689501349042482	9.855065480860294	5.827962679483727	3.099149528827662	3.706807281011503	8.726933202311557	4.600647997799122
Non_plasma_B_cells_std	0.8779976677550414	0.4734510240777189	0.605257544557923	0.8037158749937713	1.6048563755714351	0.2370407517991905	0.3402261170797512	1.1118910365822587	0.7145582292943503
Other_std	0.4208616297528813	1.1929200030805376	0.7606727077074212	0.636155818359285	0.7241636129379219	0.94826020665211	1.0320308644041931	0.7588806915733146	0.8219899461731311
