	AdultKidney2	AdultKidney4
B_cells	0.19864147278218394	3.989766921543585
CD4_T_cells	0.7772577729876813	0.4068017185115187
CD8_T_cells	0.5328139990438548	0.1728639302346227
CD8_T_cells_PD1_high	0.2999041651160511	0.1011630964433669
CD8_T_cells_PD1_low	0.2329098339278037	0.07170083379125576
Endothelium	12.931029437211594	18.56009346468154
Fibroblasts	0.07888672199463845	0.3414454595809297
Immune_general	8.524242833070131	7.235948305860555
Lymphocytes	1.8485634658110122	3.3241737844628214
Macrophages	3.767895196835351	1.1708578334987296
Macrophages_M1	1.8097244188802648	0.3856871886508697
Macrophages_M2	1.9581707779550857	0.7851706448478599
Monocytes	0.34240337771672485	0.40671992190434375
Monocytic_cells	4.110298574552076	1.5775777554030732
Myeloid_cells	4.788241938188199	2.3871767019700303
NK_cells	0.17996485965764394	0.0585321734226915
Neutrophils	0.07105302334752668	0.00503144977356119
Non_plasma_B_cells	0.0590103474295072	0.09146605936740383
Other	81.12005413842279	74.88788712684847
Plasma_B_cells	0.13963112535267674	3.89830086217618
Stromal_cells	13.009916159206233	18.901538924262468
T_cells	1.3100717720315365	0.5796656487461416
T_helpers	0.7430028687499814	0.34993344561843964
Tregs	0.03425490423769978	0.05686827289307924
Tumor	81.12005413842279	74.88788712684847
