	1k_PBMC_v3	8k_PBMC_v2	68k_PBMC_v1	3k_PBMC_v1	10k_PBMC_v3	4k_PBMC_v2	1k_PBMC_v2	5k_PBMC_v3	6k_PBMC_v1
B_cells	13.001399303225	11.0191377204744	6.138139016159441	6.17332208503868	10.8927735343502	12.42384461183	12.591020837569506	9.434750701977071	7.05596340960621
Macrophages_M1	0.0	0.0	0.33771315603440905	0.8504478075391769	0.0	0.0	0.0	0.0513216781557996	0.580880037534959
Macrophages_M2	3.6780131785806	3.48138225875934	1.03324872725999	1.90348920842572	3.9449172756350803	3.1624466055012497	4.09209028506429	2.91048005843531	2.6606705896162803
Monocytes	10.312065264545302	7.10075563914041	0.0	0.8076363070474349	11.2527371895731	7.00767200431906	7.485919464849029	9.317482154614511	0.7943546586506941
Neutrophils	8.53154677144189	5.190735382321559	1.6086185617687598	14.897351546147098	9.56365307412509	4.9955354773020995	7.428544086540239	6.56463578800702	17.332927914171698
NK_cells	5.16091158242253	3.49415657313227	4.77935246086892	2.98093653584944	6.09593824133418	3.92323903560682	5.40230301284819	5.568952131978858	3.1547964118255196
T_helpers	9.33600468061217	9.61408816118361	5.7266895987656685	14.598702072131	8.189713941667401	8.47124216003366	5.213870929461401	18.857826861126	10.271711560392
CD8_T_cells	8.039636433727509	18.0385314936349	30.699843224736398	11.898454648348698	7.37920357387139	16.4017190595034	9.81282295065814	7.0921889875346515	12.1085785502291
Tregs	1.01812946768293	0.55429043299905	0.0	0.6737647368250251	0.9111169699344469	0.4561282398034929	0.13713703851155698	2.8104185029192004	0.27047827401633395
Dendritic_cells	10.1330964473589	1.87781948133298	0.0	0.37904804743418496	9.777750041221873	2.06264107709387	1.82013450692271	5.782973187212303	0.0
T_cells	18.39377058202261	28.20691008781756	36.42653282350207	27.17092145730473	16.48003448547324	25.329089459340555	15.163830918631096	28.760434351579853	22.650768384637427
CD4_T_cells	10.354134148295099	10.168378594182661	5.7266895987656685	15.272466808956025	9.100830911601847	8.927370399837152	5.351007967972958	21.6682453640452	10.542189834408331
Macrophages	3.6780131785806	3.48138225875934	1.370961883294399	2.7539370159648966	3.9449172756350803	3.1624466055012497	4.09209028506429	2.9618017365911093	3.2415506271512387
Lymphocytes	36.55608146767014	42.720204381424224	47.344024300530435	36.32518007819285	33.46874626115762	41.67617310677737	33.15715476904879	43.76413718553578	32.86152820606916
Other	30.78919687040317	39.62910285702147	49.67639525440642	44.83684700521353	31.99219615828724	41.09553172900635	46.01615688757494	31.608969948039277	45.76963859395721
