	T2	T3	T4
B_cells	47.731638904548795	45.4251407527192	42.1478064923716
Macrophages_M1	3.4651077841959	2.55555327455948	1.7043291728583
Macrophages_M2	2.2316300961642903	0.8295064490250258	0.0
Monocytes	0.028294510727145505	0.0	0.0
Neutrophils	1.38808266281628	1.1189893029225801	0.0
NK_cells	0.27052530997904894	0.12097820858083401	0.0
T_helpers	0.0	0.0	42.6903565229216
CD8_T_cells	2.57095948703974	2.2976629503095096	7.8879963037440195
Tregs	7.911049262660231	14.1187338013801	5.56951150810451
Dendritic_cells	0.4835857013779299	1.9912189148049704	0.0
Macrophages	5.696737880360191	3.3850597235845066	1.7043291728583
T_cells	10.48200874969997	16.416396751689607	56.147864334770134
CD4_T_cells	7.911049262660231	14.1187338013801	48.25986803102611
Lymphocytes	58.48417296422782	61.96251571298964	98.29567082714172
Other	33.919126280490644	31.542216345698304	-2.220446049250313e-14
