	SRR1060753	SRR1060754	SRR1060755	SRR1060756	SRR1060757	SRR1060758	SRR1060759	SRR1060760	SRR1060761	SRR1060762	SRR1060763	SRR1060764	SRR1060765	SRR1060766	SRR1060767	SRR1060768	SRR1060769	SRR1060770	SRR1060771	SRR1060772	SRR1060773	SRR1060774	SRR1060775	SRR1060776	SRR1060777	SRR1060778	SRR1060779	SRR1060780	SRR1060781	SRR1060782	SRR1060783	SRR1060784	SRR1060785	SRR1060786	SRR1060787	SRR1060788	SRR1060789	SRR1060790	SRR1060791	SRR1060792	SRR1060793	SRR1060794	SRR1060795	SRR1060796	SRR1060797	SRR1060798	SRR1060799
Basophils	3.96	7.64	2.98	6.02	3.140000000000001	11.4	5.050000000000002	4.6	4.8500000000000005	4.71	4.74	5.15	2.95	6.68	2.78	6.03	3.3300000000000005	9.78	4.760000000000002	6.0600000000000005	5.12	5.48	4.89	2.51	1.76	2.31	5.29	3.36	16.4	7.580000000000001	6.93	6.709999999999999	6.39	6.45	6.69	2.66	2.11	2.32	5.1	2.5700000000000003	15.5	5.57	6.29	6.69	6.849999999999999	6.29	6.49
Monocytes NC+I	1.7500000000000002	2.6	2.86	1.4500000000000002	0.878	2.6100000000000003	1.38	0.695	1.6200000000000003	2.16	1.25	1.08	1.11	2.27	1.92	1.41	1.25	2.6100000000000003	1.16	0.7229999999999999	1.51	1.49	0.765	2.52	3.83	3.19	1.91	1.17	3.84	2.73	2.63	1.05	1.49	1.46	2.72	1.6399999999999997	3.45	3.75	2.2	1.18	3.3300000000000005	1.79	1.7000000000000002	1.04	2.41	1.6399999999999997	2.18
B Memory	-0.655	-1.3299999999999998	-3.5700000000000003	1.63	-1.81	-2.27	-2.01	-1.24	-1.7500000000000002	2.36	-2.54	-2.22	-1.17	-1.37	-4.51	1.35	-1.88	-2.24	-2.3	-2.47	-1.68	0.227	-2.37	-0.8540000000000001	-1.43	-2.24	1.52	-1.06	-2.27	-0.342	-2.13	-2.24	-2.8400000000000003	-2.3800000000000003	-2.65	-0.568	-1.95	-1.76	2.37	-1.68	-1.82	-1.2	-1.7000000000000002	-1.52	-0.8959999999999999	-1.89	-1.03
Dendritic_cells	0.13599999999999998	0.141	0.201	0.19100000000000006	0.159	0.22100000000000006	0.227	0.2	0.163	-0.13599999999999998	0.255	0.208	0.112	0.0922	0.21899999999999997	0.277	0.182	0.263	0.208	0.251	0.211	-0.0799	0.16399999999999992	0.15	0.12699999999999995	0.243	0.19100000000000006	0.0589	0.33	0.0793	0.358	0.141	0.315	0.281	0.18800000000000006	0.132	0.228	0.243	0.158	0.142	0.33	0.15	0.19699999999999998	0.135	0.29	0.173	0.16600000000000004
Plasmacytoid_dendritic_cells	0.105	0.21600000000000005	0.0839	0.575	0.0763	0.366	0.258	0.26	0.149	0.0159	0.255	0.171	0.11699999999999999	0.18100000000000002	0.121	0.5079999999999999	0.10400000000000001	0.36	0.28500000000000003	0.35600000000000004	0.15	0.298	0.233	0.0733	0.155	0.0895	0.635	0.0033399999999999997	0.3320000000000001	0.316	0.061800000000000015	0.272	0.198	0.11699999999999999	0.205	0.0981	0.12699999999999995	0.0272	0.5710000000000001	0.0214	0.218	0.0862	0.10099999999999998	0.175	0.46399999999999997	0.275	0.3629999999999999
Plasma_B_cells	0.41100000000000003	0.555	0.992	1.02	0.603	0.685	0.5920000000000001	0.403	0.599	0.722	0.662	0.636	0.54	0.615	1.04	0.9640000000000001	0.532	0.711	0.594	0.475	0.604	0.0407	0.647	0.6160000000000001	1.15	1.03	1.13	0.561	0.746	0.8329999999999999	0.787	0.7859999999999999	0.745	0.6220000000000001	0.7959999999999999	0.631	1.05	1.18	1.21	0.7240000000000002	0.8370000000000001	0.8380000000000001	0.77	0.8690000000000001	0.5870000000000001	0.845	1.0699999999999998
CD8_T_cells	10.32	6.363	25.629999999999995	13.81	7.1099999999999985	9.490000000000004	8.549999999999999	12.34	9.32	8.329999999999998	9.37	7.77	13.4	6.19	27.690000000000005	11.7	7.22	7.7	9.82	9.07	9.46	11.7237	8.61	11.379999999999995	23.68	23.48	17.869	9.15	15.18	11.89	12.88	13.23	14.581	15.832	7.880000000000001	9.59	21.61	22.69	17.668	7.61	12.540000000000004	11.76	10.53	15.239999999999998	14.892000000000001	13.709	12.740000000000002
CD4_T_cells	2.28	2.7	4.95	8.86	2.1	7.44	5.38	1.63	4.28	6.19	5.38	4.64	1.82	2.7300000000000004	3.91	11.43	1.81	7.9	3.93	3.72	4.37	2.01	5.4499999999999975	3.515	9.43	9.9	13.36	5.159999999999998	7.249999999999999	5.19	4.760000000000002	5.579999999999999	7.1099999999999985	1.05	7.46	3.53	9.83	7.689999999999999	11.94	5.9	8.459999999999999	6.25	6.68	4.68	4.999999999999999	2.380000000000001	4.260000000000002
Monocytes	10.17	14.499999999999998	9.37	5.46	7.4079999999999995	7.91	6.88	4.595	7.339999999999999	5.300000000000002	6.27	6.45	10.66	14.57	9.12	5.15	6.99	7.48	6.8199999999999985	4.293	7.029999999999999	5.45	6.335	11.18	13.170000000000002	11.57	7.28	10.78	11.09	11.56	8.93	9.71	10.57	9.43	10.83	11.84	12.36	12.83	8.27	10.97	10.34	10.7	10.13	10.08	9.19	9.39	10.75
gd_T_cells	-0.46	-0.623	-0.4500000000000007	0.07899999999999996	-0.28	-2.58	-0.6299999999999999	-1.2600000000000002	-0.19	-1.13	-0.6600000000000003	-0.8100000000000002	-0.95	-0.807	-0.5899999999999999	-0.017999999999999957	-0.1299999999999999	-2.54	-0.77	-0.030000000000000027	-0.8000000000000002	-1.96	-0.8700000000000001	-2.24	-0.7600000000000003	-0.010000000000000007	-3.04	-0.7900000000000003	-3.43	-2.09	-2.03	-2.0100000000000007	-2.1100000000000003	-1.66	-1.7000000000000002	-2.09	-0.715	-0.94	-1.54	-0.35100000000000003	-3.1700000000000013	-1.7200000000000004	-1.24	-1.9500000000000004	-1.87	-0.9100000000000004	-1.0599999999999994
T_cells	15.18	12.649999999999995	33.17	27.979000000000006	10.1	16.510000000000005	15.289999999999996	16.3	15.65	12.19	16.27	13.890000000000002	18.13	12.083000000000006	33.92000000000001	28.70200000000001	9.738	15.79	14.980000000000002	17.04	14.779999999999996	13.383699999999996	14.459999999999996	15.154999999999996	35.82	37.02	32.009	14.78	21.22	18.270000000000007	16.630000000000006	16.993	20.611	17.832	17.230000000000004	14.82	34.724999999999994	34.39	34.508	14.849	20.45	18.219999999999995	18.35	18.099	19.292	17.839000000000006	18.170000000000012
Non_plasma_B_cells	0.465	0.5	3.91	3.94	0.6699999999999999	2.95	1.77	1.2500000000000002	1.7400000000000002	1.983	1.2999999999999998	1.36	0.3900000000000001	0.3799999999999999	3.710000000000001	3.87	0.7600000000000003	3.04	1.5599999999999998	1.0999999999999996	1.81	0.934	1.36	0.6559999999999999	5.79	5.2200000000000015	4.23	1.28	3.06	2.358	2.3600000000000003	1.59	1.5700000000000005	1.4900000000000004	2.11	0.6120000000000001	5.26	5.0200000000000005	4.71	1.05	3.98	2.24	1.83	1.84	1.8240000000000005	1.55	2.54
B_cells	0.8759999999999999	1.0550000000000002	4.902000000000002	4.96	1.273	3.635	2.362	1.6530000000000002	2.3390000000000004	2.705	1.962	1.996	0.93	0.995	4.750000000000002	4.834000000000001	1.2920000000000005	3.751	2.154	1.5749999999999995	2.414	0.9747	2.0069999999999997	1.272	6.939999999999999	6.25	5.36	1.841	3.806	3.1910000000000003	3.1470000000000007	2.376	2.3150000000000004	2.112	2.906	1.243	6.309999999999999	6.2	5.92	1.7740000000000002	4.816999999999998	3.0780000000000003	2.6	2.709	2.411000000000001	2.395	3.61
Lymphocytes	18.626	15.355	40.70200000000001	33.266	11.73	27.125000000000004	18.682	20.073	18.894000000000002	16.175	19.662000000000006	17.666000000000004	21.87	15.188	41.73000000000001	33.70700000000001	11.1034	26.341000000000005	18.634	18.836	18.893999999999995	16.848399999999994	18.117	20.826999999999998	47.38	48.06	43.028999999999996	17.951	33.666000000000004	25.781	23.087	23.599	26.726	23.264000000000006	23.556000000000004	20.423	45.635	46.11	44.098000000000006	17.518	33.32700000000001	25.018	24.059999999999995	24.398000000000003	25.843000000000004	23.094	25.320000000000004
Other	9.603000000000003	30.04800000000001	23.66310000000001	24.288	-30.513300000000033	21.877999999999986	7.3030000000000035	19.971999999999987	6.603999999999999	16.435100000000002	10.318000000000003	9.355000000000002	11.090999999999998	29.088799999999992	24.52999999999999	26.527999999999984	-25.709400000000013	22.87600000000001	8.093000000000005	20.604	8.19500000000001	17.203500000000005	12.960999999999999	-6.0402999999999984	7.008000000000003	10.5275	3.1750000000000167	-37.153240000000004	2.8820000000000063	-8.716300000000011	-6.866799999999995	-5.231999999999992	-6.799	-6.142000000000002	-6.369000000000025	-10.953100000000004	11.740000000000006	12.369800000000007	1.2029999999999983	-37.2214	4.485000000000006	-5.524200000000001	-5.877999999999982	-7.678000000000008	-4.437000000000002	-2.0219999999999905	-5.789
