	SRR7900852	SRR7900853	SRR7900854	SRR7900855	SRR7900856	SRR7900857	SRR7900858	SRR7900859
B_cells	8.233972842812081	15.230548015284398	25.822192737255	8.13003129331798	17.0041993986287	4.8958163727221296	12.715922093122302	23.825785413758602
Macrophages_M1	0.248118978558578	0.5633148538122099	0.0	0.016958203693458896	0.0	0.1865076521755689	0.0	0.0
Macrophages_M2	4.7557084802733	3.3833967911912297	4.505715479188191	2.99722655980938	4.193470621487911	2.47501436994059	4.45923451448662	3.5913238343321803
Monocytes	13.334096638557401	9.511197542951301	12.170245611244802	10.0636803353998	16.083265125391698	30.275463087055503	16.034713430305892	12.652643419897098
Neutrophils	2.4961558227943303	3.3478487941369397	4.4012439983133405	0.0	4.92537513815067	4.38321760190072	3.04674102105296	4.42446526066323
NK_cells	8.42885849486219	5.9080697481644595	3.5073750262463896	6.078781383543331	2.00677707507147	7.5373115718916095	4.57117148546572	2.51466515916489
T_helpers	1.28874749900753	21.2139744902686	7.926044896102448	21.997956869631402	9.57178473612942	6.8269948002937895	16.4767263385389	25.035655137094803
CD8_T_cells	28.5070900583418	15.9206815942467	8.11581891003672	22.848844556276703	19.908796707577103	29.8615114428261	18.232224947815304	16.5545283256065
Tregs	9.505766790027904	7.9416276581576515	12.294483586694401	11.3150909133566	6.3971863812633885	9.10036835054964	7.115140944429982	3.95351179089282
Dendritic_cells	3.91349899580638	5.778429070670599	0.9916241087818528	3.2910951600799705	0.957481580379097	4.45779475064438	1.3172941160546499	3.5863443670342496
T_cells	39.30160434737723	45.07628374267295	28.33634739283357	56.16189233926471	35.87776782496991	45.788874593669526	41.82409223078419	45.54369525359413
Macrophages	5.003827458831878	3.9467116450034396	4.505715479188191	3.0141847635028385	4.193470621487911	2.6615220221161593	4.45923451448662	3.5913238343321803
CD4_T_cells	10.794514289035432	29.15560214842625	20.22052848279685	33.313047782988	15.96897111739281	15.92736315084343	23.591867282968877	28.989166927987622
Lymphocytes	55.964435685051505	66.21490150612179	57.665915156334975	70.37070501612601	54.88874429867009	58.22200253828327	59.111185809372216	71.88414582651761
