	GSM2230759	GSM2230758	GSM2230760	GSM2230757
B_cells	0.629131838214074	1.64073104218609	1.2909679075868998	1.34100195678984
Macrophages_M1	16.5128014047089	12.996839114428	17.3093807462726	4.361191898713621
Macrophages_M2	0.0	1.63225345297128	0.0	2.79996930857329
Monocytes	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.8399562305670419
NK_cells	2.00695592057227	4.0173419664303704	3.55598786962768	5.850666354424959
T_helpers	0.0	0.0	0.765675387463973	0.0
CD8_T_cells	0.0	0.171786003866852	0.9093205176322	0.0
Tregs	2.7616931176400903	7.50584174492972	6.6105166692590505	6.95015811280324
Dendritic_cells	0.0	0.0	0.0	2.9602215575712902
Other	78.0894177188647	72.03520667518771	69.5581509021576	74.89683458055671
Macrophages	16.5128014047089	14.62909256739928	17.3093807462726	7.161161207286908
T_cells	2.7616931176400903	7.6776277487965725	8.285512574355224	6.95015811280324
CD4_T_cells	2.7616931176400903	7.50584174492972	7.376192056723022	6.95015811280324
Lymphocytes	5.397780876426435	13.335700757413033	13.132468351569806	14.141826424018037
