	SRR1060753	SRR1060754	SRR1060755	SRR1060756	SRR1060757	SRR1060758	SRR1060759	SRR1060760	SRR1060761	SRR1060762	SRR1060763	SRR1060764	SRR1060765	SRR1060766	SRR1060767	SRR1060768	SRR1060769	SRR1060770	SRR1060771	SRR1060772	SRR1060773	SRR1060774	SRR1060775	SRR1060776	SRR1060777	SRR1060778	SRR1060779	SRR1060780	SRR1060781	SRR1060782	SRR1060783	SRR1060784	SRR1060785	SRR1060786	SRR1060787	SRR1060788	SRR1060789	SRR1060790	SRR1060791	SRR1060792	SRR1060793	SRR1060794	SRR1060795	SRR1060796	SRR1060797	SRR1060798	SRR1060799
B_cells	1.4354572342375702	3.94065947919336	11.4970364321215	11.561666370589302	2.9340365921437104	10.772181642272	7.186269856601991	7.22216274414866	6.8714341104521806	7.904492300719069	6.958783222635679	6.7634313812173605	2.3406314682424	4.04674712781992	11.6256598853212	12.446206348311598	3.32886840867499	10.7204467728048	7.00472154079453	6.592115466442131	6.7972868257616685	8.21248212524001	6.56751517074224	1.5950574115119698	12.4957504616119	12.218947863879697	12.908642549979902	3.3523636657312297	10.5947686680807	6.051136844592969	6.944662824357832	7.041143717488951	7.0327667615842495	6.609800041720259	7.084468426877471	1.6138971881280202	12.166160219375401	12.510369372486002	12.187989381463197	3.55475274817203	11.039201125018304	6.4458851635225205	6.76693841002169	6.927895547207512	6.367391382758949	7.4900019226407295	6.2536750553271805
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.121548858663456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	3.05001322670664	0.6305296806166489	0.0	0.0	0.0	0.10024498392974	0.0	0.0242181977994264	0.0	0.0	0.0	0.0	2.86454189334544	0.7969211899003759	0.0	0.0	0.0	0.136503627163954	0.0	1.35720466284857	0.0	0.0	2.5591037228421096	2.9479430893238003	0.0	0.22874530424180803	0.0	0.0	0.0	0.177082198264832	0.0	0.0	0.610884497813454	0.0	2.3001871159740896	2.3913682157348304	0.0	0.2755047932526411	0.0	0.0	0.00642087837814421	0.0	0.0255597343501611	0.0	0.0
Monocytes	7.463914461154929	11.6618763490255	5.44244194135151	0.0	4.4269119987448295	5.711356670710959	7.934722857272709	8.610903975446641	8.52606173669814	6.00123408186464	8.27202179301825	8.1422011189412	6.177021721041497	11.8505455956811	5.49677782737411	0.0	4.3842359787152985	5.098431876790159	7.95933751473269	8.53047376283157	7.6388322001882	4.4813612973398795	8.592225413418669	2.23092580892404	2.1605484719504098	4.00796870764209	0.0	1.3277673057763202	3.7104361423293097	3.84424509940835	3.8251155559647696	4.40061517088711	3.0677088165181696	5.15330295912959	2.66529680499705	2.3911556823771702	1.40829620977196	3.61871028753034	0.0	1.3415443459111398	3.0935507206847297	3.99471241004668	4.2226498756178685	5.13695916542167	3.9966563769099506	5.416495832873009	3.0445147057104904
Neutrophils	81.90308468751239	73.4687592193307	41.77117349512589	49.8166656496382	88.83209070965341	49.065619337721785	65.08352701978609	57.021816789347895	66.54854903357601	56.47084272986041	64.57140608991779	64.6221879152754	80.61856892681361	73.708423621411	41.56430011397179	48.1582802081927	87.89427874586241	49.46345784294381	65.2469301287759	58.6483985277692	67.5844174219722	57.7936725897141	64.6915068924326	88.21627688676429	47.58995275452121	44.297459268221004	54.4134643707534	89.49438976385441	52.8421446320065	74.87362189096491	72.43532788168811	72.30994012490851	72.6968994035392	71.10885316376229	73.68278753522402	88.40175040932711	45.5600408051255	45.33961503607272	54.06419366878471	89.65768627943059	52.12729354356021	74.69309379966981	72.4701832512897	73.2646201250026	72.0748856521651	70.39832540369831	74.79350094269242
NK_cells	1.9667854468787398	1.38666758928118	4.829231534123769	1.41154584483663	0.0	4.54810409048046	1.71413072429664	1.7308409739539998	1.7541770407483004	2.00593965744059	1.7490411609911998	1.69563178719284	1.88064819422472	1.48932282578841	5.032726903543759	1.8544902468851399	0.0	4.82480291723341	1.80808692165558	1.4834487985354698	1.9257546600876798	0.9334356781187728	1.78194420806738	2.29478152914319	6.77649097496135	6.766399022268421	2.59420388700286	0.523098088334138	5.47156933303327	2.7028028029121702	2.3909040950563902	2.2842011033222698	2.17082791238209	2.5450518190599	2.68909596723635	2.5966794552228	6.9342723474093	7.237585780540789	2.61826854860611	0.557462421863284	5.369807433864612	2.73382957968107	2.36502607161759	2.46426113299205	2.1233373149954	2.2955498983752203	2.78935960643768
T_helpers	0.0	0.122296525107048	0.0	16.724515821098002	0.0	14.5546723317301	6.4444654872175295	10.098163478174401	4.16911247898878	14.7345626738699	6.87795248483325	7.1052579571648815	0.0	0.15022235668260198	0.0	19.035327447541498	0.0	14.628691862293401	6.17868843580053	10.4095080127916	4.11640494956234	12.518257844915595	6.881297885973789	0.0	0.0	0.6297348434579572	12.348116768261699	0.057074527368291515	11.3596359871404	2.37458063201177	3.83461745199296	4.11713946503441	3.655664944246341	3.0953145887395697	3.29734706487152	0.0	2.75763868109071	0.0	12.350825014686198	0.0409433482968181	12.9787774388738	2.12301165500021	5.059296177607	1.3138350306938997	3.6909338726475305	2.80610085765244	2.64189835576921
CD8_T_cells	7.230758170216349	8.08033295472503	33.4101033705706	18.1800700549732	3.80696069945806	13.101659336356	11.636884054825	14.537659112569001	12.1306655995366	11.4020481985176	11.5097300618224	11.579127871560802	8.70881344664451	7.81074035301624	33.4159933764437	15.5098463768846	4.3926168667472885	12.333138088166802	11.8022354582408	13.4951119060854	11.9373039424279	14.0836293039748	11.427632330425697	5.662958363656481	28.418153614113002	29.131547205207106	15.644206159172	5.016561344693828	13.740034394857096	10.1536127301099	10.569372190939902	9.66987822009394	11.37613216173	11.487677427588402	9.97011970298015	4.99651726494488	28.873404621253	28.9023513076354	16.378740096364407	4.57210606307353	12.544645973457902	10.0086385732675	8.97667614307127	10.892428998682304	11.6091854077116	11.5935260847603	10.477051334063097
Tregs	0.0	0.0	0.0	1.67500657824796	0.0	1.4205430731823603	0.0	0.678207942429717	0.0	1.45666215992838	0.0610651867814172	0.09216196864742712	0.0	0.0	0.0	2.19892818228413	0.0	1.5270801619565602	0.0	0.7044398983806409	0.0	0.61995649784828	0.0578780989395771	0.0	0.0	0.0	2.09136626483021	0.0	1.4276702464657298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3999832900954	0.0	2.11554466354444	0.000828818812220473	0.13280919239676806	0.0	0.112050258461297	0.0	0.0
Dendritic_cells	0.0	1.3394078833371499	0.0	0.0	0.0	0.8258635175462871	0.0	0.0	0.0	0.0	0.0	0.0	0.2743162430332269	0.9439981196006529	0.0	0.0	0.0	1.4039504778111398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73219173742357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73117910099596	0.0	0.0	0.0	0.0	0.0	0.0
