	DLBCL1	DLBCL2	DLBCL3	FL1	FL2	FL3	FL4	rLN1	rLN2	rLN3	tFL1	tFL2
Lymph	58.855709021681506	46.03074713419729	60.3277346705432	60.928697238531115	72.24819673588637	74.74313123495746	73.06943888143516	14.984145583034122	52.083304591108416	47.372016514674556	30.424355881960015	77.52850501366403
CD8_T_cells_PD1_high	0.016616463945281528	0.3307675335455477	0.4119075182872508	1.615586584254728	1.328397805006729	1.6725751171512888	1.5166376441270135	3.8905896038888597	0.35848154527739273	0.389900690961208	1.642383670048292	3.086140230476781
CD8_T_cells_PD1_low	0.09230406346096907	0.5649778690001754	0.5712222044248092	3.54086829842966	4.427315102225946	5.795116641011031	3.8482691948017353	6.0495688648936845	2.305603345714206	4.872770627817339	10.785040952240367	2.1492627130371464
Myeloid_cells	0.025343651312182476	0.3867468440883419	1.0832445516525413	0.3713451071163192	0.25711123962338395	1.235151339904578	0.17366552540760372	2.457360192854176	2.02708054107941	2.6836446973747994	2.651106931520625	1.1180081684853092
Plasmacytoid_dendritic_cells	0.007645148435108677	0.3924029498035055	0.0	0.09884436229953177	0.0	0.1812642984104845	0.0	1.5935505626761184	0.24200527562473675	0.898967389244169	1.2165419086170493	0.11345314107098778
Proliferative cells	40.90144647657411	46.94617850228019	35.44909455300691	9.974939470086856	3.940308798360172	4.740739732784501	4.5242495488624845	28.428563202054377	30.27251206023757	7.015046775178306	38.62296363431707	5.825081102094093
T_helpers	0.043018528885068665	3.9168489614251887	0.074600790805527	18.278691756927312	14.57085861130158	8.79550955495267	12.61837822788572	38.41243352709511	10.568886554310538	32.717430579247605	11.056910157456484	8.35812846684383
Tregs	0.05791664570577178	1.2544452659669059	2.0681123546990245	5.1411765896083255	3.0877577413387423	2.3614774244576173	3.5571114901074283	3.022617844788828	1.735016954932021	2.1758079697257853	3.1902202256433587	1.6656343674987386
gd_T_Cells	0.0	0.1768849396928344	0.01408335658074184	0.04985059274615549	0.14005396625707572	0.4750346563703937	0.6922494873728466	1.1611706187147182	0.40710913171569535	1.8744147557762243	0.41047663819672253	0.1557867968290868
CD8_T_cells	0.10892052740625062	0.8957454025457232	0.98312972271206	5.156454882684388	5.755712907232676	7.467691758162318	5.364906838928748	9.940158468782544	2.664084890991599	5.262671318778547	12.427424622288658	5.235402943513927
B_cells_and_Other	99.76480064669072	93.369328586281	95.77682922355012	71.0024810709175	76.18850553424654	79.66513526615243	77.59368843029766	45.00625934776463	82.59782192697072	55.28603067909703	70.26386142489415	83.46703925682911
CD4_T_cells	0.10093517459084043	5.171294227392095	2.142713145504552	23.41986834653564	17.658616352640323	11.156986979410286	16.17548971799315	41.43505137188394	12.303903509242566	34.8932385489734	14.247130383099847	10.023762834342568
T_cells	0.20985570199709108	6.243924569630653	3.139926224797353	28.62617382196618	23.554383226130074	19.099713393943	22.23264604429475	52.536380459381206	15.375097531949857	42.03032462352817	27.08503164358523	15.414952574685584
