	SRR1550982	SRR1551019	SRR1551032	SRR1551074	SRR1551100
Lymphocytes	30.57	12.0	19.64	27.66	38.0
Monocytes	6.69	8.71	8.93	10.64	5.6
Neutrophils	59.14	78.17	69.64	59.57	54.5
Other_cells	3.6	1.12	1.79	2.13	1.9
