	VIC-019-CL	VIC-020-CL	VIC-026-CL	VIC-041-CL	VIC-017-CL	VIC-034-CL	VIC-025-CL
CD8_T_cells_PD1_high	3.062709151753237	5.890822883997653	4.736632030492699	11.172487526728435	12.4952632415319	0.06954433914367912	0.7359315906712594
CD8_T_cells_PD1_low	0.6941413259614918	3.3265644559855168	0.7254735974104014	5.292230933713469	3.036414976713484	0.029086985953630056	0.3227329268358352
Endothelium		0.8344905010932149	1.0162771010882103	0.0		1.5669952614655611	1.8705227088744372
Fibroblasts		1.0852365656147362	0.6079240665119808	1.3186029935851744		1.1809316297173804	2.360545450955545
Macrophages	5.5264561811921045	9.202570527079622	10.233827070604283	18.92373485388453	10.845037710709352	31.08684845151464	8.462136319659963
Monocytes	1.0312090790048014	0.6470008301214408	2.876893183443061	0.3920171062009978	0.3447137775495985	0.1888009815535624	1.1049743590664078
NK_cells	1.4167757893205295	0.9967156064730476	1.0890876314208142	1.3720598717034924	1.9008153336511544	0.0	0.7580095383913971
Neutrophils	0.5819874872690237	4.412750817299199	11.558890999127149	7.733428367783321	4.285696823010256	0.4466174479607379	20.15034543910884
Non_plasma_B_cells	10.979557689509676	20.61569556388421	1.68867796253328	7.893799002138274	2.463114403412911	0.004495261465561009	33.16789830502391
Other	42.71788156554634	17.894910804685914	43.536310962371	17.712045616535992	44.62821029985209	65.01258673210357	24.395593744222488
Plasma_B_cells	23.752364324167033	4.037011638796495	12.448407598612215	6.325730577334284	2.5890204994682606	0.2699801150786935	0.16764880626511128
T_helpers	6.7462049565934326	23.70215166717639	6.763045585532637	17.783321454027078	12.28012272788392	0.13168471822643427	5.471561628885853
Tregs	2.5316455696202533	7.354078137792561	2.7185522108522786	4.080541696364931	3.0339701981493032	0.012428075816551023	1.0320991820389611
CD8_T_cells	3.7568504777147287	9.21738733998317	5.4621056279030995	16.46471846044191	15.531678218245382	0.09863132509730918	1.0586645175070946
CD4_T_cells	9.277850526213687	31.056229804968947	9.481597796384914	21.863863150392014	15.314092926033226	0.1441127940429853	6.5036608109248135
T_cells	13.034701003928413	40.27361714495212	14.943703424288016	38.32858161083392	30.845771144278608	0.24274411914029445	7.5623253284319105
B_cells	34.73192201367671	24.652707202680702	14.137085561145494	14.219529579472557	5.052134902881171	0.2744753765442546	33.33554711128902
Lymphocytes	49.18339880692565	65.92303995410586	30.16987661685432	53.92017106200996	37.79872138081093	0.517219495684549	41.65588197811233
CD44+Unidentified	0.8596440176536204	0.5715870516251954	0.6421362434152524	2.690662865288667	2.5425697067488118	0.030673548823828056	0.4934331567695834
MDSC	0.0	0.4308273290415232	0.3706319164521095	0.9265858873841768	0.2994853741122398	0.0	0.4964845804382203
Tumor	39.263543333818326	14.55125002611938	10.911491343880627	14.094796863863149	40.277726844891035	21.477301573870367	7.443858291884828
Unidentified	2.5946942140743974	2.341246397899812	31.612051458623004	0.0	1.5084283741000157	43.50461160940938	15.961817715129854
