	BT1160	BT1187	BT749	BT771	BT786	BT830	BT85	BT920	MGH100	MGH101	MGH102	MGH104	MGH105	MGH106	MGH110	MGH113	MGH115	MGH121	MGH122	MGH124	MGH125	MGH128	MGH129	MGH136	MGH143	MGH151	MGH152	MGH66
Macrophages	0.0	89.95433789954338	0.0	2.0648967551622417	0.4716981132075472	0.0	0.0	4.318936877076411	0.0	23.5	30.76923076923077	0.0	31.703470031545745	4.5	1.1142061281337048	16.153846153846153	3.0303030303030303	0.0	17.94871794871795	11.35135135135135	10.025062656641603	0.0	0.0	0.0	0.0	0.0	0.0	0.22935779816513766
Tumor	100.0	3.6529680365296797	99.36908517350159	96.75516224188792	98.58490566037734	100.0	99.59183673469387	95.6810631229236	100.0	76.5	66.02564102564102	100.0	62.46056782334385	68.0	83.84401114206128	82.30769230769229	96.96969696969695	98.31649831649831	73.26007326007326	88.37837837837837	83.20802005012531	86.41304347826086	98.95833333333334	99.13419913419914	99.63503649635037	74.23312883435584	99.56331877729258	99.77064220183485
Oligodendrocytes	0.0	0.0	0.6309148264984227	1.1799410029498525	0.9433962264150944	0.0	0.4081632653061225	0.0	0.0	0.0	3.205128205128205	0.0	4.889589905362777	0.0	13.649025069637885	0.0	0.0	1.6835016835016834	8.058608058608057	0.2702702702702703	4.761904761904762	13.586956521739127	1.0416666666666663	0.8658008658008658	0.36496350364963503	25.766871165644172	0.4366812227074235	0.0
T_cells	0.0	6.392694063926941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.946372239747634	27.500000000000004	1.3927576601671308	1.5384615384615383	0.0	0.0	0.7326007326007326	0.0	2.0050125313283207	0.0	0.0	0.0	0.0	0.0	0.0	0.0
