	CCRCC_1	CCRCC_10	CCRCC_11	CCRCC_12	CCRCC_13	CCRCC_14	CCRCC_15	CCRCC_16	CCRCC_17	CCRCC_18	CCRCC_19	CCRCC_20	CCRCC_21	CCRCC_22	CCRCC_23	CCRCC_24	CCRCC_25	CCRCC_26	CCRCC_27	CCRCC_28	CCRCC_3	CCRCC_30	CCRCC_31	CCRCC_4	CCRCC_5	CCRCC_6	CCRCC_7	CCRCC_8	CCRCC_9
B_cells	1.5046899426784783	0.36803103396826975	0.41139565977578935	2.2752927115380364	0.5752444789035339	8.322302833302615	0.7305796101872429	0.12931731235519156	0.6021594684385382	1.2328498278292208	2.3608816198504496	4.051638156532866	8.304498269896193	0.18996734936182846	4.420579420579419	0.946831755280408	2.643107170554822	0.7943796491872532	0.4505209148077465	1.1009075774663015	0.10137418337463393	0.7250824829279521	0.7513500821789152	0.3175837708211809	0.4854635216675809	0.30090270812437314	1.8055899084837992	1.7183805786433324	4.446178934310843
CD4_T_cells	3.9115424700364767	3.128263788730293	3.1403202029551918	7.866138421017684	4.68449090863617	5.155571938407922	4.756430888701562	1.747579790577797	4.9626245847176085	7.207978732894433	6.337692889349428	7.01179924349348	11.490029607962045	1.6295636687444346	2.822177822177822	6.354697742170429	6.0198285438806085	3.9236844521994674	3.166160873509996	1.364051339885076	0.8842081549898626	4.112637151845315	3.877083822493543	4.0248881975500685	1.9391113549094896	1.6633233032430623	2.2656443235221366	4.409291442220976	2.8879256275523715
CD8_T_cells	6.903009379885358	3.4216939374347244	1.9781274640885875	11.903233660166887	11.519895955781207	12.975219074108205	4.291516591309678	2.586346247103831	6.20016611295681	8.298096308587128	7.5951494104797375	5.323773499689493	6.007205793172332	1.92935589195607	5.2947052947052935	4.697742170429716	5.64673332075709	7.9047662778951215	2.0867878484497697	1.5466408893185113	1.3798152737102949	2.766055397836262	3.466189246301949	7.163998530905006	1.6346681294569392	2.365429622199933	1.4543655701211968	4.500694664489238	7.998940722260164
Endothelium	8.897863470557583	15.024618292137067	7.329699338338647	5.311967419933159	2.7436660580746817	5.086875659735603	11.042991800137944	11.266770838946064	13.156146179401992	9.547003514781707	9.765592180804884	7.798415476392104	3.7812578033032502	14.998515880083113	5.16983016983017	5.034595775673707	7.6736045609843	8.607310129488473	1.9960579419954323	11.610547231620213	11.123000675827887	4.872247372055552	9.529819206386478	3.0807786203469663	9.607789358200767	13.674356402540955	10.294335889191194	6.651717161869012	9.461022760533544
Epithelial cells	0.7523449713392392	0.0	1.6798656107511398	1.2195391868263208	1.0329389990746067	0.7221486855553507	0.5951924796280685	0.3735833468038867	1.9642857142857144	1.7341968634587592	0.9942028173747444	4.010237302169782	1.7622088253130241	0.0	1.998001998001998	6.054260742898762	0.6518686201764866	0.7094315364128937	0.682038607139505	0.3383276945384244	0.0	0.0	2.3391641230335765	0.0	0.8091058694459682	2.29020394516884	0.0	0.5447632047188437	1.3004028042984377
Macrophages	12.42020583637311	18.247376535534887	11.793342246905961	15.792036475509615	14.766275667158544	22.63793710101704	12.417298899021635	11.51462902096018	15.55232558139535	20.066370497243486	12.269302937799313	15.241159976664973	9.763493026076409	8.676165034134758	19.955044955044954	12.49089584850692	11.586912322622569	11.394526586463403	10.612270437693583	8.807260619730412	6.5836900202748385	11.651193125143864	14.00563512561634	15.198651889299374	14.229292375205706	18.480441323971924	11.743754637645312	11.279157627903574	12.726664529527365
NK_cells	0.016284523189161022	0.009946784701845127	0.010284891494394734	0.14386578428985636	0.1800765325263237	0.1055576964964898	0.05619843155286485	0.01436859026168795	0.012458471760797342	0.11240164855751217	0.008401713949645728	0.020700427181542747	0.0927478329112118	0.0059364796675571395	0.024975024975024976	0.02731245447924253	0.05030497390429479	0.1836715951878042	0.0	0.04833252779120348	0.016895697229105656	0.02301849152152229	0.038154496360648035	0.017283470520880594	0.0	0.008358408559010365	0.009893643334157804	0.008530967411704487	0.030663302995247187
Tumor	61.8225638353309	55.41851096633014	60.578010901984975	41.105774551249425	49.94872820948903	31.355662416433486	60.20129256392571	64.91010650717531	40.77242524916944	38.07561241056932	53.25286358417117	40.283031295282186	51.029144222880184	69.07687741169487	47.87712287712288	33.91296431172615	60.04527447651386	58.3478740012857	69.15496042298908	67.98238547876053	72.92182924082	71.1194659709967	55.81122329185255	65.15004212845939	62.441031267142066	51.0531594784353	67.15310413059609	61.92629244156287	54.566741466542155
Tumor KI67+	1.5128322042730589	1.6810066146118268	1.6455826391031574	5.336313937274519	8.043418452842458	6.532848549838313	1.3053362965233606	3.0371607665642903	2.242524916943521	2.7493800067797816	2.1424370571596607	8.906829259112893	3.7527200085613375	1.6711190264173346	5.919080919080919	2.039329934450109	3.871386950051353	2.8308384608320325	5.10590370115446	2.089039256753128	5.936021626492454	3.5525205248216065	2.016318384597324	4.063776006222049	4.328030718595722	1.7134737545971248	2.038090526836508	1.1163380213030445	1.4481441732755376
Unclassified	2.2586633663366342	2.7005520465509525	11.433371044602143	9.045837852194506	6.505264737513444	7.1058760451049725	4.603162439011928	4.4201375792517545	14.534883720930234	10.976110189298652	5.273475789060967	7.352415363480683	4.016694609924018	1.8224992579400416	6.518481518481518	28.441369264384562	1.8109790605546123	5.303517311047846	6.745299252260426	5.11250738413619	1.053165127280919	1.1777794828512238	8.16506222117868	0.9829973858750836	4.5255074053757545	8.450351053159478	3.2352213702696018	7.844833889877398	5.133315678704336
