	CCRCC_5	CCRCC_17	CCRCC_10	CCRCC_19	CCRCC_3	CCRCC_25	CCRCC_22	CCRCC_18	CCRCC_26	CCRCC_9	CCRCC_30	CCRCC_13	CCRCC_24	CCRCC_15	CCRCC_27	CCRCC_11	CCRCC_1	CCRCC_4	CCRCC_16	CCRCC_7	CCRCC_6	CCRCC_23	CCRCC_14	CCRCC_31	CCRCC_28	CCRCC_21	CCRCC_8	CCRCC_12
Monocytes	16.623598	19.736731	17.736045999999995	17.304473	17.24502	16.188098	12.35737	21.503556	17.36509	15.854497	25.27763	16.699786	20.382428	19.169052	17.621575	14.057072000000002	19.314535	14.862329	15.068414999999998	16.96624	14.598576999999999	21.734643	24.291915	14.733277	19.522853	23.971772	15.908031	17.423029
Other	23.85034	19.475067000000006	16.336697	23.595689	21.853276	21.957178	23.167185	20.61532	20.497167	18.582705999999998	22.76715	22.074811	18.064695999999998	20.2733	24.669905	21.798933	19.060023	25.235522	19.891453	20.272261999999998	22.588988	22.297822	20.645726	22.318764	23.332913	16.145223	18.779515	22.429132
CD4_T_cells	21.49783	15.98431	23.274158	14.763051	22.731351999999998	17.944197	20.570736	11.641369	15.497129000000001	21.691446	8.039614	16.26097	9.4066076	15.823061999999998	8.500597599999999	19.248004	12.717703	10.562631	22.129564	19.27393	17.188816000000006	9.565858	6.941544	20.09514	13.897586	5.6352470000000014	20.326273	8.886846
B_cells	3.9694797	5.538972	5.517661599999999	5.5881176	3.3368687999999995	5.7203133	6.186104	4.127914	4.6337347	5.6170035	2.8216265000000003	6.2597066	6.395119	4.7838103	5.5106923000000005	5.9180985999999995	3.7176933	3.7377663	5.6540940000000015	5.214454	5.291787	4.1296933000000005	4.414174	5.668905400000001	4.4117417	3.9279010000000003	7.551589599999999	4.407696
NK_cells	6.5193340000000015	7.1108530000000005	6.644904	6.047569	6.7312725	7.072700599999999	7.0971884	6.414877	6.598619	6.2544710000000014	6.1696514	7.1462854999999985	5.5045712999999985	7.2293854999999985	6.729653999999999	6.56239	5.9409108	4.577966399999998	7.484139999999999	8.2261235	6.722342	7.983103399999999	6.391122	6.6784940000000015	7.4764979999999985	6.6233460000000015	6.1400104	5.0700460000000005
CD8_T_cells	27.539417	32.154062	30.490533000000006	32.701102	28.102207	31.117508	30.621418	35.696962	35.40826000000001	31.999877	34.924325	31.558442	40.24657300000001	32.721388000000005	36.967573	32.4155	39.249137	41.023788	29.772340000000003	30.04699	33.609495	34.288883	37.31552	30.50542	31.358406	43.696509999999996	31.294584000000004	41.78325
T_cells	49.037247	48.138372	53.764691000000006	47.464153	50.833559	49.061704999999996	51.192153999999995	47.338331	50.90538900000002	53.691323	42.963939	47.819412	49.653180600000006	48.54445000000001	45.4681706	51.663503999999996	51.966840000000005	51.58641900000001	51.901903999999995	49.32092	50.79831100000001	43.854741	44.257064	50.600559999999994	45.255992	49.331757	51.620857	50.670096
Lymphocytes	59.5260607	60.788197	65.92725659999999	59.09983960000001	60.9017003	61.8547189	64.47544640000001	57.88112199999999	62.13774270000001	65.5627975	51.955216899999996	61.2254041	61.552870900000016	60.557645799999996	57.7085169	64.1439926	61.6254441	59.90215170000001	65.040138	62.7614975	62.81244000000001	55.9675377	55.06236000000001	62.9479594	57.144231700000006	59.88300400000001	65.312457	60.147838
