	GSM2230759	GSM2230758	GSM2230760	GSM2230757
Monocytes	10.681474	12.320865	12.902446000000001	8.184499
Other	21.379834	22.678103	22.058015	23.185784
CD4_T_cells	36.749256	30.676770000000005	33.507189999999994	34.01171
B_cells	2.2556012	1.7424481000000005	1.8828524	2.1231553
NK_cells	4.250151	3.9423395	3.5468620000000004	4.8587684000000015
CD8_T_cells	24.683683	28.639475	26.102638	27.636087
T_cells	61.43293900000001	59.31624500000001	59.60982799999999	61.647797
Lymphocytes	67.93869120000001	65.0010326	65.03954239999999	68.62972070000001
