	Sample_1976.0	Sample_3250.0	Sample_3250.1	Sample_3266.0	Sample_3281.0	Sample_3288.0	Sample_3288.1	Sample_3290.0
B_cells	0.00051563187004682	0.993275499792126	5.32581806354504e-06	10.7415634771962	1.83681346727907	1.5061586147745198e-06	0.00014445945804820298	2.40433784390128e-05
Fibroblasts	2.47466586392307	0.0387143471448145	8.451365948825961	0.0633518135542477	0.5498889684327021	0.39633583308404097	15.404877551622	5.0153050182747805
CD4_T_cells	1.7534395969654198e-07	0.000343607826184356	1.4840115039660102e-06	9.652495793003961e-08	0.00262000017947702	5.18494596032923e-05	0.0013254181271364802	0.00038286284086569905
CD8_T_cells	0.0008145810170083909	1.47249344126387e-08	0.0027053241465375497	0.0009322612676255119	0.135353735855651	0.00016647740654263002	1.98829078190834e-06	3.11537551617722e-05
Endothelium	87.51826165036721	7.36495948557472	89.9863579944804	4.52095628358299	71.0589664554235	61.4344168941001	36.975378547739204	62.437425576535304
Macrophages	8.793025187893159	0.45271232441803605	0.106608455592526	1.81474218213991	26.2325701323626	37.15307510676449	47.329212630884	31.689457487719
NK_cells	1.2125017266511497	53.20643040174949	1.45295389832318	11.080323936992302	0.18323601726225106	1.0137993421975502	0.0584241261979691	0.857366843445834
Other	0.00021518293439978697	37.9435643187697	1.5688018473230602e-06	71.77812994874171	0.0005512232047476492	0.00215299082903585	0.23063527768083006	7.014050662457772e-06
T_cells	0.0008147563609680875	0.0003436225511187686	0.002706808158041516	0.000932357792583442	0.13797373603512803	0.00021832686614592232	0.0013274064179183884	0.0004140165960274712
Lymphocytes	1.2138321148821651	54.20004952409274	1.455666032299285	21.822819771981088	2.158023220576449	1.0140191752223109	0.059895992073935686	0.8578049034203006
