	SRR1550982	SRR1551019	SRR1551032	SRR1551074	SRR1551100
B_cells	3.99347959137863	0.190069148580011	4.171903036688748	9.92816971464231	6.812723315414179
Fibroblasts	7.265346050063332e-07	3.6478321592722587e-06	7.94497285851189e-07	3.275428457310289e-07	2.7323493133413697e-05
CD4_T_cells	18.966728858487002	3.5533329312067297	6.97102566702454e-05	12.320907183461498	21.753050713492797
CD8_T_cells	6.547740520114112	3.8649630162032795	0.4748492390714671	13.408667836796598	9.04351313942386
Endothelium	0.9295923016914992	1.58444027160832	1.1951285525104198	0.363744092514787	6.33286204777865e-06
Macrophages	2.1169715253318997	5.46678662934829	4.31097521455114	2.8323402269998903	1.49276938567619
NK_cells	0.97630949007667	3.37501101847238	0.5852144017204771	2.4191498513944905	0.40020594087268896
Other	66.4691769863856	81.9653933367488	89.26185905070379	58.7270207666475	60.4977038487651
T_cells	25.514469378601113	7.4182959474100105	0.4749189493281372	25.729575020258107	30.79656385291666
Lymphocytes	30.48425846005641	10.9833761144624	5.232036387737364	38.0768945862949	38.00949310920353
