	T2	T3	T4
B_cells	53.4375811936057	55.357227129937094	35.274662837062614
Fibroblasts	0.40678936216263795	0.349028123447527	0.0008611443374045841
CD4_T_cells	0.5003464796428301	4.9158379077438505	23.134792917169598
CD8_T_cells	0.000681457314662781	1.26944514559938e-05	4.8460818267933305
Endothelium	8.19147683228308	3.23677898639669	1.4380397471758704e-06
Macrophages	0.277833926670062	0.196377070641986	0.0675696882192008
NK_cells	0.442837268363988	0.040184012271227414	0.0356462386465273
Other	36.742453479957106	35.904554075110205	36.640383909731604
T_cells	0.5010279369574928	4.915850602195307	27.980874743962932
Lymphocytes	54.381446398927174	60.31326174440362	63.29118381967206
