	SRR6337113	SRR6337114	SRR6337115	SRR6337116	SRR6337117	SRR6337118	SRR6337119	SRR6337120	SRR6337121
B_cells	14.770736144458198	7.76286517880123	9.1867803333595	12.9137785808919	13.3633674407586	8.5065246937926	7.74355997968038	16.668344503872106	11.204180161451301
Fibroblasts	6.447797344350288e-07	2.65242483416367e-05	7.417459780987858e-05	2.32210443293564e-06	1.53219021988143e-07	1.2368809405656298e-06	1.7365728385129598e-07	1.36633625147813e-06	5.222449251617e-07
CD4_T_cells	27.229708818382697	14.712038379943204	23.385203852977696	12.9070392926308	7.773968764811411	3.94349732156538	10.561750391971401	14.6006896098136	13.422778323053901
CD8_T_cells	8.024201310160969	8.64533765235551	11.8979579901043	15.782141831859	14.806623087069099	23.3174961706849	8.25013658712474	9.027595541004171	18.21558629445289
Endothelium	6.48968936013779e-05	0.297156651614025	1.21995019967885e-06	2.398297094128589e-05	0.325198192855236	0.11879163447749902	0.371637185059654	0.6878615620788799	0.008001802919553509
Macrophages	2.56823365740682	2.30017582979165	1.6344022610333302	2.27257949546638	2.9279743975310497	1.99292228107896	2.44375925977221	3.54082318307797	2.14652030032755
NK_cells	1.8606225237682599	4.53312650424613	9.7910721868905	9.089029055131489	6.947682260237201	6.46838379138021	7.56102097197345	1.387974795246	7.39752908826358
Other	45.546432004149686	61.74927327899991	44.104507981086705	47.0354054389449	53.8551857035184	55.652382870139505	63.0681354507609	54.08670943857099	47.6054035072863
T_cells	35.253910128543666	23.357376032298713	35.28316184308199	28.689181124489803	22.580591851880513	27.26099349225028	18.81188697909614	23.62828515081777	31.6383646175068
Lymphocytes	51.885268796770134	35.65336771534607	54.261014363332	50.69198876051321	42.89164155287632	42.2359019774231	34.11646793074997	41.68460444993587	50.24007386722168
