	GSM2230759	GSM2230758	GSM2230760	GSM2230757
B_cells	0.17145973879027998	0.194385004546007	0.18714581705724304	0.18461767248969105
Fibroblasts	0.4691030332633861	10.1683542460193	4.1428138886255805	3.9127021286707997
CD4_T_cells	4.60530563300405	6.0273962976980595	6.49644010703137	5.06528723905842
CD8_T_cells	1.07120747409208	1.07163435393343	1.48756712025724	1.30731064025
Endothelium	0.7968704796807049	1.6007772052082598	0.624424318800621	2.90540000928793
Macrophages	0.175285049159035	0.22921906720272606	0.20471103400097895	0.110621833569143
NK_cells	4.25006103954343e-08	1.23143695925753e-06	6.093451272536749e-08	1.56222739275791e-08
Other	92.7107685495098	80.7082325939553	86.85689765329239	86.51406046105171
T_cells	5.676513107096128	7.09903065163149	7.984007227288611	6.372597879308421
Lymphocytes	5.8479728883870195	7.293416887614455	8.171153105280366	6.557215567420387
